code,beschrijving,wet
WW,Werkloosheidswet — uitkering bij werkloosheid,WW
WIA-WGA,Werkhervatting Gedeeltelijk Arbeidsongeschikten,WIA
WIA-IVA,Inkomensvoorziening Volledig Arbeidsongeschikten,WIA
WAJONG,Wet arbeidsongeschiktheidsvoorziening jonggehandicapten,Wajong
ZW,Ziektewet,ZW
TW,Toeslagenwet — aanvulling tot sociaal minimum,TW
WAO,Wet op de arbeidsongeschiktheidsverzekering (oude regeling),WAO
WAZO,Wet arbeid en zorg (zwangerschap/bevalling),WAZO
IOW,Wet inkomensvoorziening oudere werklozen,IOW
